rank,finalWorth,category,personName,age,country,city,source,gender,title,population_country
58,25200,Metals & Mining,Andrey Melnichenko & family,51,United Arab Emirates,Ras Al Khaimah,"Fertilizers, coal",M,,9770529
59,24600,Automotive,Stefan Quandt,56,Germany,Frankfurt,BMW,M,,83132799
60,24400,Technology,MacKenzie Scott,52,United States,Seattle,Amazon,F,Philanthropist,328239523
61,24200,Finance & Investments,R. Budi Hartono,82,Indonesia,Kudus,"Banking, tobacco",M,,270203917
62,23700,Metals & Mining,Vladimir Potanin,62,Russia,Moscow,Metals,M,,144373535
63,23500,Technology,Jack Ma,58,China,Hangzhou,E-commerce,M,,1397715000
64,23400,Manufacturing,He Xiangjian & family,80,China,Foshan,Home appliances,M,,1397715000
65,23100,Metals & Mining,Iris Fontbona & family,80,Chile,Santiago,Mining,F,,18952038
65,23100,Manufacturing,Michael Hartono,83,Indonesia,Kudus,"Banking, tobacco",M,,270203917
67,22900,Manufacturing,James Ratcliffe,70,United Kingdom,London,Chemicals,M,,66834405
68,22600,Healthcare,Cyrus Poonawalla,81,India,Pune,Vaccines,M,,1366417754
69,22400,Telecom,Masayoshi Son,65,Japan,Tokyo,"Internet, telecom",M,CEO,126226568
70,22100,Metals & Mining,Vladimir Lisin,66,Russia,Moscow,"Steel, transport",M,,144373535
71,22000,Food & Beverage,Emmanuel Besnier,52,France,Laval,Cheese,M,,67059887
72,21600,Finance & Investments,Abigail Johnson,61,United States,Milton,Fidelity,F,CEO,328239523
72,21600,Energy,Leonid Mikhelson & family,67,Russia,Moscow,"Gas, chemicals",M,,144373535
74,21200,Fashion & Retail,Lukas Walton,36,United States,Chicago,Walmart,M,,328239523
74,21200,Service,Wang Wei,52,China,Shenzhen,Package delivery,M,,1397715000
76,21100,Technology,Jensen Huang,60,United States,Los Altos,Semiconductors,M,CEO & President,328239523
77,21000,Manufacturing,Takemitsu Takizaki,77,Japan,Osaka,Sensors,M,,126226568
77,21000,Fashion & Retail,Leonard Lauder,90,United States,New York,Estee Lauder,M,Chairman Emeritus,328239523
79,20900,Metals & Mining,Alexey Mordashov & family,57,Russia,Moscow,"Steel, investments",M,,144373535
80,20500,Energy,Vagit Alekperov,72,Russia,Moscow,Oil,M,,144373535
81,20200,Healthcare,"Thomas Frist, Jr. & family",84,United States,Nashville,Hospitals,M,,328239523
82,19600,Metals & Mining,Andrew Forrest,61,Australia,Perth,Mining,M,,25766605
83,19100,Finance & Investments,Ray Dalio,73,United States,Greenwich,Hedge funds,M,Founder & Co-Chief Investment Officer,328239523
84,19000,Metals & Mining,Wang Wenyin,55,China,Shenzhen,"Mining, copper products",M,,1397715000
84,19000,Automotive,Eric Li,59,China,Hangzhou,Automobiles,M,,1397715000
86,18900,Food & Beverage,Qin Yinglin,57,China,Nanyang,Pig breeding,M,,1397715000
86,18900,Diversified,Eyal Ofer,72,Monaco,Monte Carlo,"Real estate, shipping",M,,38964
88,18700,Automotive,Wang Chuanfu,57,China,Shenzhen,"Batteries, automobiles",M,,1397715000
